Investor name,Website,Global HQ
Digital Ventures by Siam Commercial Bank (SCB),http://dv.co.th/index.php,"Bangkok, Krung Thep, Thailand"
Discount Capital,http://www.dcapital.co.il/,"Tel Aviv, Tel Aviv, Israel"
Distill Ventures,https://www.distillventures.com/,"London, England, United Kingdom"
Dmg ventures by DailyMail,https://www.dmgventures.co.uk/,"London, England, United Kingdom"
Double Sharp Partners,https://www.double-sharp.vc/,
DuPont Capital Management,http://www.dupontcapital.com,"Wilmington, Delaware, United States"
DvH Ventures,http://dvhventures.de/,"Köln, Nordrhein-Westfalen, Germany"
Eastven Ericsson Venture Partners,http://www.evp.com,"Darien, Connecticut, United States"
EDP Ventures,https://www.edpventures.vc/,"Lisbon, Lisboa, Portugal"
EdVentures by Nahdet Misr Publishing Group,https://www.nmedventures.com/,"Gîza, Al Jizah, Egypt"
Effective Investments,https://efi.ua/,
Eighteen94 Capital,https://www.1894capital.com/en_US/home.html,"Battle Creek, Michigan, United States"
Emerald Media by KKR,http://emeraldmedia.asia/,"Mumbai, Maharashtra, India"
Endeavor Catalyst,http://www.endeavorcatalyst.org/,"New York, New York, United States"
Engelhardt Kaupp Kiefer & Co.,https://ekkco.de/en/home/,"Stuttgart, Baden-Wurttemberg, Germany"
Enlightened Hospitality Investments,https://ehi.fund,"New York, New York, United States"
Equinor Technology Ventures,https://www.equinor.com/en/how-and-why/statoil-technology-invest.html,"Stavanger, Rogaland, Norway"
Evolve,https://evolvetechnology.se/en/services/ventures,"Götgatan 15, 411 05 Göteborg, Sweden"
Experian Ventures,http://www.experian.com/ventures/index.html,"San Francisco, California, United States"
F+ Ventures,http://www.fplus.ventures/,"Istanbul, Istanbul, Turkey"
Fairfax Digital Ventures,https://www.fairfaxmedia.com.au/portfolio-landing/digital-ventures,"Pyrmont, New South Wales, Australia"
Far East Holding Group,http://www.fegroup.com.cn/,"Yixing, Jiangsu, China"
Far East Ventures,http://www.fareast.ventures/about.html,"Singapore, Central Region, Singapore"
FastTrack VC,http://www.fasttrack.vc,"Whistler, British Columbia, Canada"
FCP Innovación,http://www.fcp-innovacion.com,"Medellín, Antioquia, Colombia"
Ferguson Ventures,http://www.fergusonventures.com,"Newport News, Virginia, United States"
Fielmann Ventures,http://www.fielmann-ventures.com,"Hamburg, Hamburg, Germany"
For Startups,https://forstartups.com/,
Freebit Investment,http://fbinvest.co.jp/,
Fujitsu Limited,https://www.fujitsu.com/global/,
FunCubator by FunCorp,https://funcubator.co/,"Moscow, Moscow City, Russian Federation"
G+J Digital Ventures,https://www.gujdv.com/de/home/,
Galaxy Ventures,http://www.galaxyventures.co.th,"Bangkok, Krung Thep, Thailand"
General Motors Ventures,http://www.gmventures.com,"Warren, Michigan, United States"
Google Assistant Investments,https://developers.google.com/actions/assistant-investments,"Mountain View, California, United States"
Google.org,http://www.google.org/,"Mountain View, California, United States"
Gordon Brothers Japan,https://www.gordonbrothers.com/,
Growin’Partners,https://www.growin.jp/,
GS Shop,https://company.gsshop.com/en/sustainable-management/future-growth/contentsid/79/index,"Seoul, Seoul-t'ukpyolsi, South Korea"
GS Venture,http://venture.gs/en/,
GTR Ventures,http://gtrventures.vc/,"Singapore, Central Region, Singapore"
Guano by DocCheck,http://www.guano.ag/en/,"Cologne, Nordrhein-Westfalen, Germany"
H-Farm,http://www.h-farm.com/en/,"Roncade, Veneto, Italy"
Hakuhodo DY Ventures,https://www.hakuhodody-ventures.co.jp/,
Hangar 51 Ventures by IAG,https://www.hangar51.com/investment/,"London, England, United Kingdom"
Hankyu Hanshin Properties,https://www.hhp.co.jp/en/,
Harvest Global Investments,http://www.harvestglobal.com.hk/en/home/,"Central, Hong Kong Island, Hong Kong"
Hella Ventures,http://HellaVentures.com,"Sunnyvale, California, United States"
Hewlett Packard Pathfinder,https://www.hewlettpackardpathfinder.com/,"Palo Alto, California, United States"
Holtzbrinck Digital,http://www.holtzbrinck-digital.com,"München, Bayern, Germany"
HR Ventures,https://www.hrventures.de/,"Dreieich, Hessen, Germany"
IAG Firemark Ventures,http://firemarklabs.com.au/ventures/,"Sydney, New South Wales, Australia"
IDG Ventures,http://www.idgventures.com/,"Bangalore, Karnataka, India"
Infineon Technologies Japan,https://www.infineon.com/cms/en/,
InnoCells by Banco Sabadell,https://www.innocells.io/en/,"Barcelona, Catalonia, Spain"
Innogy Innovation Hub,https://innovationhub.innogy.com,"Essen, Nordrhein-Westfalen, Germany"
Innogy Ventures,https://www.innogy.ventures/#what-we-invest-in,"Essen, Nordrhein-Westfalen, Germany"
Intermountain Healthcare Innovation Fund,https://intermountainhealthcare.org/about/transforming-healthcare/innovation/business-development/ventures/innovations-fund/,
InVent by Intouch Holdings,http://www.inventvc.com,"Bangkok, Krung Thep, Thailand"
Itochu Techno-Solutions,http://www.ctc-g.co.jp/en/index.html,
Japan Airlines Innovation Fund,https://www.jal.com/en/,
Japan Post,https://www.post.japanpost.jp/index_en.html,
JCI Ventures,http://www.johnsoncontrols.com/ventures,"San Mateo, California, United States"
JJDC by Johnson & Johnson,https://www.jnjinnovation.com/jjdc,"Cambridge, Massachusetts, United States"
JMA Consultants,https://www.jmac.co.jp/,
JR East Start Up,http://jrestartup.co.jp/,
JTB,https://www.jtbcorp.jp/en/,
K - Invest,http://www.k-invest.de,"Pforzheim, Baden-Wurttemberg, Germany"
K4 Ventures,http://www.k4v.co.jp/,
Kaiser Permanente Ventures,http://www.kpventures.com,"Oakland, California, United States"
Kakao Investment,http://www.kvgcorp.com,"Seongnam, Kyonggi-do, South Korea"
Karcher New Venture,https://www.kaercher.com/newventure,"Winnenden, Baden-Wurttemberg, Germany"
Katjesgreenfood,http://www.katjesgreenfood.berlin/,"Berlin, Berlin, Germany"
KDDI Open Innovation Fund,https://www.kddi.com/english/ventures/koif/,"Tokyo, Tokyo, Japan"
Kickstart Ventures,http://www.kickstart.ph,"Makati, Manila, Philippines"
Kintetsu Venture Partners,http://www.kintetsu-g-hd.co.jp/venture/,
Kirin Holdings,https://www.kirinholdings.co.jp/english/,
Kloeckner Ventures,https://www.kloeckner.ventures/,"Berlin, Berlin, Germany"
Kodansya,http://www.kodansha.co.jp/,
Krungsri Finnovate,https://www.krungsrifinnovate.com/en/,"Bangkok, Krung Thep, Thailand"
LeadX Capital Partners,https://leadxcapital.com,"München, Bayern, Germany"
Leap Venture Studio,https://www.leapventurestudio.com/,"Portland, Oregon, United States"
Legal & General Capital,http://www.legalandgeneralcapital.com/,
LEO Innovation Lab,http://leoinnovationlab.com/,"Copenhagen, Hovedstaden, Denmark"
Leonard,https://leonard.vinci.com,"6 place du Colonel Bourgoin, Paris, 75012, France"
Leorsa Innovations,http://leorsavc.com/,"Saint Petersburg, Saint Petersburg City, Russian Federation"
LG Technology Ventures,http://www.lgtechventures.com/,"Santa Clara, California, United States"
Liberty Global Ventures,https://www.libertyglobal.com/operations/ventures/,"Englewood, Colorado, United States"
Liberty Mutual Strategic Ventures,http://libertymutual.com/strategicventures,"Boston, Massachusetts, United States"
Lilly Ventures,http://www.lillyventures.com,"Indianapolis, Indiana, United States"
LINE Ventures,https://lineventurescorp.com/en/,"Tokyo, Tokyo, Japan"
Lockheed Martin Ventures,http://www.lockheedmartin.com/us/who-we-are/lockheed-martin-ventures.html,"Bethesda, Maryland, United States"
Loeb.nyc,https://www.loeb.nyc/,"New York, New York, United States"
Logo Ventures,https://www.logo.com.tr,"Istanbul, Istanbul, Turkey"
Lowe's Ventures,http://lowesventures.com,"Mooresville, North Carolina, United States"
Luma Launch,https://www.lumalaunch.com/,"Santa Monica, California, United States"
Lumina Impact Ventures,https://www.luminafoundation.org/lumina-impact-ventures,
Macquarie Capital,http://www.macquarie.com/us/about/company/macquarie-capital,"London, England, United Kingdom"
Maersk Growth,https://www.maersk.com/growth,"Esplanaden 6, DK-1263 Copenhagen, Denmark"
Mahindra Partners,http://www.mahindrapartners.com,"Mumbai, Maharashtra, India"
Mail.Ru Games Ventures,http://gamesventures.mail.ru/,"Moscow, Moscow City, Russian Federation"
Manatt Venture Fund,https://www.manatt.com/venture-capital-emerging-companies,"Los Angeles, California, United States"
Match2blue,http://match2blue.com,"Engelplatz 14a, 07743 Jena, Germany"
MBU Capital,http://www.mbucapital.com,"London, England, United Kingdom"
MCI Mandiri Capital Indonesia,http://mandiri-capital.co.id/en/home/,"Jakarta, Jakarta Raya, Indonesia"
MDC Ventures,http://mdcventures.vc/,"New York, New York, United States"
MDI Ventures by Telkom Indonesia,http://www.mdi.vc,"Jakarta, Jakarta Raya, Indonesia"
MedImmune Ventures,http://medimmuneventures.com,"Gaithersburg, Maryland, United States"
Mediterranean Towers Ventures,http://ventures.migdalei.co.il/,
Mercado Libre Fund,https://www.mercadolibre.com/fund,"Buenos Aires, Distrito Federal, Argentina"
Merck Global Health Innovation Fund,http://www.merck.com/ghi,"Whitehouse Station, New Jersey, United States"
MGO Digital Ventures,http://www.mgo-ventures.de,"Bamberg, Bayern, Germany"
Milano Venture,http://www.milanoventure.com,"Milan, Lombardia, Italy"
Miramar Digital Ventures,http://miramardv.com/,"Corona Del Mar, California, United States"
Mitsubishi Estate,https://www.mec.co.jp/index_e.html,
31ventures,http://www.31ventures.jp/en/,
Mobile Ventures,https://www.mobile-ventures.com/en/,
Molex Ventures,https://www.molexventures.com/,"Lisle, Illinois, United States"
Monex Ventures,http://www.monexventures.com/,
MTG Ventures,https://www.mtg.gr.jp/en/,
Multicroissance,http://multicroissance.fr/,"Balma, Midi-Pyrenees, France"
Mynavi Corporation,https://www.mynavi.jp/,
Nab Ventures,https://www.nab.com.au/about-us/nab-ventures,Australia
Nautilus by AOL,http://nautilus.aol.com,"Tel Aviv, Tel Aviv, Israel"
Navitas Ventures,http://www.navitasventures.com/,"Sydney, New South Wales, Australia"
Neva Finventures,http://www.group.intesasanpaolo.com,"Turin, Piemonte, Italy"
Next 10 Ventures,https://www.next10ventures.com/,"Los Angeles, California, United States"
Nexus Ventures,http://nexus.ventures,"Ankara, Ankara, Turkey"
Nomura Real Estate Holdings,https://www.nomura-re-hd.co.jp/,
Noosphere Ventures,http://noosphereventures.com,"Menlo Park, California, United States"
Nordisk Film Games,https://www.nordiskfilmgames.com/,
