Investor name,Website,Global HQ
MDR Lab,https://lab.mdr.london/,"70 Kingsway, Africa House, London, England WC2B 6AH, GB"
Munich Re Ventures,https://www.munichre.com/mrv/en.html,"2 Embarcadero Center, San Francisco, California 94111, US"
Obratori,https://obratori.com,"61 Boulevard des Dames 13002 Marseille, France"
Superbet Ventures,https://www.superbetgroup.com,"38 Warren Street, London, England W1T 5LA, GB"
Gumi Cryptos Capital,https://www.gumi-cryptos.com/,"44 Tehama St, San Francisco, California 94105, US"
Compass Digital Ventures,https://compassdigitalventures.io/,"2400 Yorkmount, Charlotte NC 28217, USA"
Great Eagle Holdings,https://www.greateagle.com.hk/,"33/F, Great Eagle Centre, 23 Harbour Road, Wanchai, Hong Kong"
LvlUp Ventures,https://www.lvlup.ventures/,"555 E 5th St. Los Angeles, California 90013, US"
Strada Education Network,https://stradaeducation.org/strategic-investments-portfolio/,"10 W. Market Street Suite 1100 Indianapolis, IN 46204"
Bangchak Initiative and Innovation Center,https://www.bangchak.co.th/en/greenovation/biic,"2098 M Tower Building, 8th Floor, Sukhumvit Road, Phra Khanong Tai, Phra Khanong, Bangkok 10260 Thailand"
Index Exchange,https://www.indexexchange.com/,"8 Spadina Avenue Suite 2900 Toronto, ON M5V 0S8"
XPRESS Ventures,https://xpress.ventures/,"Zionskirchstr. 73a, 10119, Berlin, Germany"
TRUMPF Venture,https://www.trumpf.com/en_INT/company/trumpf-group/trumpf-venture/,"Johann-Maus-Str. 2, Ditzingen, 71254, DE"
Cisco Climate Commitment,https://www.cisco.com/c/en/us/about/csr/climate-impact-regeneration.html,"Cisco Systems, Inc. 170 West Tasman Dr. San Jose, CA 95134 USA"
Vestel Ventures,https://www.vestelventures.com/,"Sisli, Istanbul, Turkey"
Standards Australia Future Fund,https://www.standards.org.au/futurefund,"‍The Exchange Centre Level 9, 20 Bridge Street Sydney NSW 2000"
The Sharing Group,https://thesharinggroup.com/,"James Wattstraat 77, 1097 DL Amsterdam"
Adesso Ventures,https://www.adesso-ventures.com/,"Prinzenstraße 34, 10969 , Berlin, DE"
Flossbach von Storch - Innovation Hub,http://www.flossbachvonstorch-innovationhub.de/,"Ottoplatz 1, 50679 Cologne, Germany"
Yamaha Motor Ventures,https://www.yamahamotor.vc/,"422 Portage Ave, Palo Alto, CA 94306"
Catalyst by Wellstar,https://catalyst.wellstar.org/,"793 Sawyer Rd, Marietta, GA 30062"
